Незламна,2015
Захар Беркут,2020
Плем'я,2014
Нюхач,
Викрадена принцеса,2018
Metro Exodus,2019
Крути 1918,2019
Кріпосна,
Незламна,2015,Biography,7.1
Захар Беркут,2020,Action,7.3
Плем'я,2014,Crime,7.0
Нюхач,,Action,7.2
Незламна,2015,Biography,7.1
Захар Беркут,2020,Action,7.3
Плем'я,2014,Crime,7.0
Нюхач,,Action,7.2
Викрадена принцеса,2018,Animation,6.1
Metro Exodus,2019,Action,8.2
Крути 1918,2019,Action,6.4
Кріпосна,,Drama,7.2
Сторожова застава,2017,Adventure,6.5
Школа,,Drama,4.0
Chyornyy tsvetok,,Drama,6.2
Metro: Last Light,2013,Action,8.3
Мої думки тихі,2019,Comedy,8.5
Сафо,2008,Drama,4.7
The Earth Is Blue as an Orange,2020,Documentary,8.0
Metro 2033,2010,Action,8.1
Додому,2019,Drama,7.4
Російський дятел,2015,Documentary,6.8
Метелики,,Action,7.7
Sluga naroda,,Comedy,6.9
Фокстер & Макс,2019,Adventure,7.0
Кіборги. Герої не вмирають,2017,Action,7.9
Ruby Ring,,Drama,
The Sinking City,2019,Horror,7.5
Поліна і таємниця кіностудії,2019,Adventure,4.9
Black Flower,,Drama,
Svaty,,Comedy,6.8
Коли падають дерева,2018,Drama,6.8
Клара та чарівний дракон,2019,Animation,5.8
18+,2013,Short,6.6
NK: Elefante,2019,Short,
Eva: Stories,2019,Drama,8.2
Bessmertnik,,Drama,7.4
Ржевський проти Наполеона,2012,Comedy,2.7
Чорний ворон,2019,Drama,7.6
Love Me,2014,Documentary,6.4
OrAngeLove,2007,Drama,6.8
Атлантида,2019,Drama,6.3
Спіймати Кайдаша,,Comedy,9.1
Sherlock Holmes: The Devils Daughter,2016,Adventure,7.3
Микита Кожум'яка,2016,Animation,5.4
Перші ластівки,,Drama,8.2
Мавка. Лісова пісня,,Animation,
Червоний,2017,Biography,7.1
Черкаси,2019,Drama,7.9
Pes,,Action,8.1
Зарваниця,2020,Documentary,7.6
Віддана,2020,Drama,7.3
5baksiv.net,,Comedy,8.6
Секс і нічого особистого,2018,Comedy,6.5
Мотыльки. фільм (2014),2014,Drama,
Наші Котики,2020,Comedy,8.5
Поводир,2014,Drama,7.9
Забуті,2019,Drama,7.7
Україна має талант,,Reality-TV,6.2
Майже святий,2015,Documentary,7.5
Скажене весілля 2,2019,Comedy,6.3
Слуга народу 2,2016,Comedy,6.3
Гуцулка Ксеня,2019,Musical,7.3
Anna,2019,Short,8.4
War Note,2020,Documentary,8.6
Papik,,Comedy,8.2
Чорний козак,2018,Fantasy,7.4
Orel i reshka,,Reality-TV,7.9
Obruchka z rubinom,,Drama,
Схованки,,Crime,8.2
Вулкан,2018,Comedy,6.8
Koltso s rubinom,,Drama,
Брама,2017,Comedy,7.0
Anton,2019,Drama,8.8
"Я, Ти, Він, Вона",2018,Comedy,5.3
Дике поле,2018,Adventure,7.5
Скажене весілля,2018,Comedy,6.3
Іловайськ 2014. Батальйон Донбас,2019,Action,7.8
"365 днів, також відомі як рік",2019,Documentary,
Неймовірні пригоди Марко Поло,1998,Adventure,4.6
Свінгери,2018,Comedy,5.4
Radi lyubvi ya vsyo smogu,,Drama,6.8
"Пекельна Хоругва, або Козацьке Різдво",2019,Family,7.3
Let It Snow,,Thriller,
Позивний Бандерас,2018,Drama,7.1
Niti sudby,,Drama,6.6
Тяжіння,2019,Documentary,
Заборонений,2019,Biography,7.3
Man Without A Heart,,Drama,
Син,2019,Short,
Сторонній,2019,Mystery,7.5
8 luchshikh svidaniy,2016,Comedy,3.9
Майдан,2014,Documentary,6.5
Svaty 6,,Comedy,6.5
Хайтарма,2013,Drama,7.1
DZIDZIO Контрабас,2017,Comedy,5.4
Гамер,2011,Drama,4.8
Легенда Карпат,2018,Action,6.1
Серце мами Гонгадзе,2017,Documentary,9.6
Мати. В ім'я мільйонів,2014,Short,7.2
Толока,2020,Drama,
Король Данило,2018,Action,5.8
Sherlok,,Comedy,
Стрімголов,2017,Drama,7.1
Chelovek bez serdtsa,,Drama,
Лікар Ковальчук,,Drama,
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007,Action,8.5
Співає Івано-Франківськтеплокомуненерго,2019,Documentary,8.2
Nichto ne sluchaetsya dvazhdy,,Drama,6.9
Сходи Якова,2014,Documentary,
Жива,2016,Adventure,6.8
Warface,2013,Action,5.5
Голос країни,,Music,6.6
Drugaya,,Crime,
Бобот та енергія Всесвіту,2018,Adventure,4.8
Аврора,2006,Drama,6.2
Tank,,Thriller,
Моя бабуся Фані Каплан,2016,Biography,6.3
"Давай, танцюй!",2019,Drama,7.0
Людина з табуретом,2019,Documentary,8.5
Серця трьох,,Adventure,7.3
Брати по зброї,2019,Documentary,
Голод-33,1991,Drama,6.9
Добровольці Божої чоти,2015,Documentary,9.1
Plyazh,,Mystery,
3 Guys 1 Hammer,2008,Documentary,4.3
Зрадник,2017,Drama,5.1
Переломний момент: Війна за демократію в Україні,2017,Documentary,7.1
Maski Show,,Comedy,7.2
Параджанов,2013,Drama,6.7
Svobodnaya energiya Tesly,2013,Documentary,8.4
Брати. Остання сповідь,2013,Drama,7.1
Мелодія для катеринки,2009,Drama,6.9
Деліріум,2013,Drama,7.8
Zefir v shokolade,1993,Comedy,5.1
Legion. Chronicle of the Ukrainian Galician Army 1918-1919,2015,Documentary,9.3
Bez prava na vybor,2013,War,5.3
Назви своє ім'я,2006,Documentary,6.1
Korotkoe slovo 'net',,Drama,
Split,,Drama,
#SelfieParty,2016,Action,5.2
Kontakt,,Crime,
Zoloto partii,1993,Drama,4.5
Twists of Fate,,Drama,
X-Фактор,,Music,6.1
Самотній за контрактом,2014,Comedy,5.5
Свінгери 2,2019,Comedy,5.8
Rayskie ptitsy,2008,Drama,6.1
Будинок із башточкою,2012,Drama,6.8
Parshivye ovtsy,,Drama,4.7
Полярний рейс,2013,Comedy,3.9
Екс,2020,Action,8.2
Інфоголік,2017,Comedy,5.9
Меніни,2008,Drama,7.2
Long Way Home,,Drama,
Мир вашому дому!,2017,Comedy,8.0
Svaty 5,,Comedy,6.6
ТойХтоПройшовКрізьBогонь,2011,Adventure,7.0
Євробачення 2017,2017,Music,7.3
Лука,2013,Biography,6.7
Урсус,2020,Drama,
Припутні,2017,Comedy,6.5
Фучжоу,1993,Drama,6.8
Залізна сотня,2004,Action,5.4
Вага,2015,Short,
Rebyonok na million,,Drama,
Konsultant,,Drama,
Чунгул,2016,Drama,6.0
Sui Caedere,2018,Short,8.3
Шоу кафкiанських чувакiв,,Comedy,
"В чорнiй, чорнiй кiмнатi",2020,Crime,
"Де ти, Адаме?",2019,Documentary,
Pulse,2020,Drama,
Mnohaya lita. Stoyko,2020,Documentary,10
Міф,2018,Documentary,8.7
Каламбур,,Comedy,6.4
Домашні ігри,2018,Documentary,7.4
Кульбабове вино,1998,Adventure,6.9
Ya podaryu tebe rassvet,,Action,
Lucy Laistner! My First Busty Interview,2019,Short,
Правило бою,2017,Action,6.7
Богдан-Зиновій Хмельницький,2008,History,5.8
Mir naiznanku,,Documentary,8.8
Вій,1996,Animation,7.2
Ядерні відходи,2012,Short,5.6
The Big Fight,,Action,
Побачення у Вегасі,2020,Adventure,6.2
Українські шерифи,2015,Documentary,7.1
Crabgirl,2018,Short,7.4
Svaty 3,,Comedy,7.1
Рівень чорного,2017,Drama,5.8
"Muzhchina dlya zhizni, ili Na brak ne pretenduyu",2008,Comedy,5.8
Передчуття,2020,Drama,
Два в одному,2007,Comedy,6.6
DZIDZIO Перший Раз,2018,Comedy,6.4
Панорама,2019,Documentary,6.9
Vtorostepennye lyudi,2001,Comedy,7.0
Останній солдат,2017,Documentary,9.1
Шулер,,Crime,6.7
"Ulybka Boga, ili Chisto odesskaya istoriya",2008,Comedy,5.9
Svaty 4,,Comedy,6.8
Bez prava na vybor,,Adventure,5.5
Finding Bigfoot,2017,Horror,7.4
1 Guy 1 Screwdriver,2009,Short,7.4
Комунальне чтиво написано криво,,Action,
Chernobyl. 3828,2011,Documentary,8.5
Тяжіння,2009,Romance,5.7
Вічність,2019,Short,6.0
Devochki moi,,Drama,
The Worst Batman Fanfilm Ever... Period,2016,Short,7.2
Mademoiselle Zhivago,2013,Music,8.6
Нескорений,2000,Drama,6.5
It's Me,2020,Documentary,
No Hesitation,,Drama,
Потворна Кралечка,2018,Short,5.9
Бабин Яр,2002,Drama,
"Dota: We, the Community",2015,Documentary,8.2
Black Hole,2019,Short,
King Danylo: Dark times,,Adventure,
Маркус,,Crime,
Гвардія,,Action,6.4
Синевир,2013,Horror,3.0
Мамай,2003,Drama,7.1
Secrets,,Crime,
Маестро,,TV Series (2015– ),7.1
Колообіг,2020,Documentary,
Anna,2019,Short,
Століття Якова,,Drama,8.3
Таємний щоденник Симона Петлюри,2018,Biography,6.2
We Are Soldiers,,Documentary,
Енеїда,1991,Animation,8.2
Воля або смерть!,2015,Documentary,7.1
Одного разу в Одесi,2016,Short,8.3
Klyanus lyubit tebya vechno,,Drama,
Verona treasures,2019,Documentary,
On a Whim,2020,Short,
Serdtse materi,,Drama,
Халепа на 5 Baksiv,2019,7 November 2019 (Ukraine),6.3
Іван Сила,2013,Adventure,7.3
Відьма,,Adventure,
Тіні незабутих предків,2013,Adventure,6.1
Історія Лізи,2019,Drama,7.6
Taynaya lyubov,,Drama,
Lyubimaya uchitelnitsa,,Drama,6.6
Luxembourg,,Drama,
Papa Den,,Comedy,
Одвiчне повернення,2012,Drama,6.7
Я працюю на цвинтарі,2020,Drama,
Insiders Project,,Documentary,8.3
Тільки Диво,2019,Family,7.2
Kazka: Plakala,2018,Short,8.5
"40+, ili Geometriya chuvstv",,Drama,
Божественні,2019,Documentary,7.5
Гола правда,2020,Comedy,5.6
Come What May,,Drama,
The Inglorious Serfs,2020,Action,
Закохані в Київ,2011,Comedy,6.3
Angel,2019,Short,
Пісня пісень,2015,Drama,6.8
Brave Bunnies,,Animation,
Roses: Film-Cabaret,2020,Documentary,
Zhenskiy doktor 3,,Drama,
S.T.A.L.K.E.R.: Call of Pripyat,2009,Action,8.5
Labirinty sudby,,Drama,
Ідентифікація Порна,2013,Short,2.4
Putana,1992,Drama,
Молитва за гетьмана Мазепу,2002,Drama,5.1
Ya tebya nikomu ne otdam,,Drama,
Little Dancer,2012,Crime,
"Моя русалка, моя Лореляй",2013,Drama,6.8
The Man I Love,,Drama,
Гніздо горлиці,2016,Drama,7.3
Rayskoe mesto,,Drama,
Жива ватра,2015,Documentary,8.2
Kak dolgo ya tebya zhdala,,Drama,
Skazhi tolko slovo,,Drama,
Вікно,2019,Short,
Продюсер,2019,Adventure,4.5
Grazhdanin Nikto,,Crime,
Ranenoe serdtse,,Drama,4.4
Тато - мамин брат,2018,Documentary,6.4
Історія зимового саду,2018,Documentary,8.0
Feathered Dreams,2012,Drama,8.1
Duma about Life (after Death),2020,Documentary,10
Barin,2007,Comedy,4.7
Vykhod'te bez dzvinka,,Crime,
Po zakonam voennogo vremeni 2,,Action,
I Love Her,2013,Short,7.2
Головна роль,2016,Documentary,8.4
Штангіст,2018,Short,7.5
Відторгнення,2011,Drama,6.1
Dreaming Demons,,Drama,
Пригоди S Миколая,2018,Comedy,6.4
СОТКА,2018,Comedy,5.7
Renunciation,,Action,
Шляхетні волоцюги,2018,Comedy,6.6
З України до Голлівуду,2019,Documentary,
Invisible Battalion,2017,Documentary,8.7
Чаклунки,,Adventure,
За законами воєнного часу,,Action,
Nikonov i Ko,,Crime,
Ystyk Pishter Filmer 3,2017,Short,9.2
Герой мого часу,2018,Comedy,6.6
Pray for Ukraine,2015,Documentary,5.7
Gulliver returns,,Adventure,
The Conference,2014,Documentary,2.3
Zaryazhennie,,Comedy,
After,2016,Short,
Schopenhauer schizophrenia,2017,Drama,8.3
Sweding: Boss in the gym,2018,Short,
Мандрагора,2015,Short,6.8
Для домашнього огнища,1992,Drama,7.8
Кохання,2019,Animation,8.7
Chekhovskie motivy,2002,Comedy,6.8
Blizko k serdtsu,,Drama,
Урок магії,2017,Adventure,6.0
В.Сильвестров,2020,Documentary,
Клятва,2008,Short,6.7
Не зарікайся,,Romance,
Artist,,Drama,
Між рядками,2019,Short,
Na tvoey storone,,Drama,
The History of the Hands,2016,Documentary,
Lyubov s oruzhiem,,Crime,5.8
Tsvety dozhdya,,Drama,
Портрет на тлі гір,2019,Documentary,8.7
Never Lose Hope,,Drama,
Verdict 19,2019,Documentary,8.9
Grechanka,,Romance,7.4
Story of R32,2014,Short,6.3
Gornichnaya,,Romance,
Чужа молитва,2017,Biography,7.5
S.T.A.L.K.E.R.: Clear Sky,2008,Action,7.7
Doroga domoy,,Drama,
Віталька,,Comedy,3.4
Krasnye braslety,,Drama,5.4
Дім,2016,Short,7.1
Hunger for Truth,2017,Documentary,
Помин,2013,Short,7.4
Казка старого мельника,2020,Family,
Маруся,2016,Short,9.5
Instagram,2015,Short,
Ілюзія страху,2008,Thriller,6.2
Potap & Nastya: Vnature,2007,Short,
Krov angela,,Drama,
Ніч Святого Валентина,2016,Comedy,5.7
Kyivska istoria,2017,Short,
Останній москаль,,Comedy,6.4
Лобановський назавжди,2016,Documentary,8.0
Кисневий голод,1992,Drama,7.4
Il ritorno del maestro (Return of the Master),2018,Short,2.8
Трубач,2014,Family,7.4
Nameless Nobody,2013,Drama,5.4
Loli Kali Shuba,2013,Documentary,
Zhenskiy doktor,,Drama,6.5
Tera,2018,Drama,5.8
"Everything, nothing and something else",2020,Comedy,
Dobrovoltsy,,Drama,
Den lyubvi,1990,Action,5.2
Shadow Warrior,2015,Documentary,
Дорога,2013,Short,7.1
Без тебе,2016,Short,7.2
Ameriken boy,1992,Action,5.8
Кров'янка,2016,Short,8.5
Гідра,2019,Documentary,5.4
Chernobyl. 1986.04.26 P.S.,,Documentary,
On the mind,2019,Short,
E.W.A,2016,Short,6.2
Vedro,,Comedy,3.5
Острів любові,,Drama,8.1
Час хризантем,2017,Drama,7.2
Чуже життя,,Drama,
Roxelana,2021,Animation,
Optimus Gang,,Comedy,8.4
2020. Безлюдна країна,2018,Fantasy,6.4
Tochka U,2020,Short,
Vkus schastya,,Drama,
The Floor is Lava,2019,Short,7.6
Vskrytiye pokazhet,,Crime,
Міна,2015,Short,
Аметистова сережка,,Drama,
Pick Your Side,,Drama,
The Born Defecation,2012,Short,1.9
MTV Made UA,,Reality-TV,
